price_amount,makeid,manufacturerprice,km,vehicleyear,etiqueta_type_id,provinceid,horsepower,maxspeed,acceleration,combustible_type_id,body_type_id,transmision_type_id,doors,seatingcapacity,colores_type_id,dimensionsinmillimeterswidth,dimensionsinmillimetersheight,dimensionsinmillimeterslength,weight,tankcapacityinliters,trunkcapacityinliters,consumptionurban,consumptionmixed,consumptionextraurban,co2emissionsgramsperkm,batteryvoltage,batterykwh,chargingtime,chargingtimefast
32900.0,53.0,37325.0,12.0,2020.0,4.0,24.0,141.0,160.0,11.0,5.0,6.0,1.0,5.0,5.0,8.0,1826.0,1495.0,4395.0,1594.0,37.0,291.0,3.28,1.58,3.4,31.0,36.0,8.9,1536.0,29.4
17500.0,105.0,38012.0,78500.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,36.8,341.0,2.46,1.3800000000000001,2.72,49.0,323.0,35.8,1020.0,45.0
19990.0,105.0,38012.0,43990.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,38.0,341.0,2.54,1.42,2.98,39.0,323.0,35.8,1020.0,45.0
16990.0,105.0,38012.0,116000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.4,341.0,2.4199999999999995,1.44,2.46,45.0,323.0,35.8,1020.0,45.0
18990.0,105.0,38012.0,139000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,41.8,341.0,2.8,1.0799999999999998,3.1399999999999997,30.2,323.0,35.8,1020.0,45.0
19790.0,105.0,38012.0,55000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,32.2,341.0,2.54,0.9400000000000001,2.98,34.4,323.0,35.8,1020.0,45.0
19790.0,105.0,38012.0,55000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,32.2,341.0,2.54,0.9400000000000001,2.98,34.4,323.0,35.8,1020.0,45.0
19500.0,105.0,38012.0,35000.0,2017.0,5.0,29.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,36.6,341.0,3.16,1.1,2.98,39.4,323.0,35.8,1020.0,45.0
18000.0,105.0,38012.0,53000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,32.2,341.0,2.54,0.9400000000000001,2.98,34.4,323.0,35.8,1020.0,45.0
17990.0,105.0,38012.0,51185.0,2017.0,5.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,38.2,341.0,2.54,0.9400000000000001,2.98,41.6,323.0,35.8,1020.0,45.0
18990.0,105.0,38012.0,136000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,38.4,341.0,2.8,1.08,2.46,42.8,323.0,35.8,1020.0,45.0
17000.0,105.0,40250.0,160000.0,2017.0,3.0,30.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.46,1.56,3.1400000000000006,38.0,352.0,8.7,210.0,150.0
19995.0,105.0,38012.0,102754.0,2017.0,4.0,46.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,32.8,341.0,2.46,1.08,2.72,35.8,323.0,35.8,1020.0,45.0
15500.0,105.0,38012.0,122000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.6,341.0,2.42,1.44,2.4600000000000004,45.8,323.0,35.8,1020.0,45.0
19890.0,105.0,38012.0,47403.0,2017.0,4.0,8.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.8,341.0,2.54,1.0,2.98,41.4,323.0,35.8,1020.0,45.0
19990.0,105.0,38012.0,43990.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,38.0,341.0,2.54,1.42,2.98,39.0,323.0,35.8,1020.0,45.0
19990.0,105.0,38012.0,39990.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.4,341.0,3.04,1.2600000000000002,2.98,41.2,323.0,35.8,1020.0,45.0
